NSU,Referencia,Data Credito,Valor Liquido,Historico
NSU700100,PED-1101,2026-06-14,4526.75,CREDITO VENDA CARTAO
NSU700101,PED-1102,2026-06-12,4464.10,CREDITO VENDA CARTAO
NSU700102,PED-1103,2026-06-25,2360.30,CREDITO VENDA CARTAO
NSU700103,PED-1104,2026-06-27,1126.42,CREDITO VENDA CARTAO
NSU700104,PED-1105,2026-06-25,1110.49,CREDITO VENDA CARTAO
NSU700105,PED-1106,2026-06-05,59.80,CREDITO VENDA CARTAO
NSU700106,PED-1107,2026-06-06,3817.92,CREDITO VENDA CARTAO
NSU700107,PED-1108,2026-06-09,3470.34,CREDITO VENDA CARTAO
NSU700108,PED-1109,2026-06-29,3006.11,CREDITO VENDA CARTAO
NSU700109,PED-1110,2026-06-19,4140.26,CREDITO VENDA CARTAO
NSU700110,PED-1111,2026-06-17,512.29,CREDITO VENDA CARTAO
NSU700111,PED-1112,2026-06-25,3273.18,CREDITO VENDA CARTAO
NSU700112,PED-1113,2026-06-30,2935.85,CREDITO VENDA CARTAO
NSU700113,PED-1114,2026-06-22,1477.80,CREDITO VENDA CARTAO
NSU700114,PED-1115,2026-06-21,3327.49,CREDITO VENDA CARTAO
NSU700115,PED-1116,2026-06-24,2652.22,CREDITO VENDA CARTAO
NSU700116,PED-1117,2026-06-01,2336.45,CREDITO VENDA CARTAO
NSU700117,PED-1118,2026-06-16,279.82,CREDITO VENDA CARTAO
NSU700118,PED-1119,2026-06-29,3191.42,CREDITO VENDA CARTAO
NSU700119,PED-1120,2026-06-09,3493.28,CREDITO VENDA CARTAO
NSU900000,AJU-1,2026-06-02,198.45,AJUSTE / ESTORNO
NSU900001,AJU-2,2026-06-18,151.91,AJUSTE / ESTORNO
NSU900002,AJU-3,2026-06-21,222.36,AJUSTE / ESTORNO
NSU900003,AJU-4,2026-06-15,210.33,AJUSTE / ESTORNO
