Pedido;Data Venda;Valor Total;Cliente
PED-1065;11/06/2026;1.528,29;Pet Shop Focinho Feliz
PED-1066;24/06/2026;2.258,66;Livraria Página Viva
PED-1067;07/06/2026;1.915,29;Academia Corpo Ativo
PED-1068;10/06/2026;2.603,33;Livraria Página Viva
PED-1069;01/06/2026;1.675,11;Floricultura Jardim
PED-1070;12/06/2026;2.478,62;Padaria Trigo Dourado
PED-1071;23/06/2026;479,63;Padaria Trigo Dourado
PED-1072;16/06/2026;1.559,07;Mercearia São Jorge
PED-1073;31/02/2026;1.989,82;Clínica Bem Estar
PED-1074;19/06/2026;3.073,21;Mercearia São Jorge
PED-1075;16/06/2026;2.113,86;Livraria Página Viva
PED-1076;03/06/2026;863,02;Floricultura Jardim
PED-1077;10/06/2026;1.130,62;Clínica Bem Estar
PED-1078;29/06/2026;4.409,37;Floricultura Jardim
PED-1079;26/06/2026;2.265,75;Mercearia São Jorge
PED-1080;30/06/2026;2.489,89;Restaurante Canto Mineiro
PED-1081;28/06/2026;499,32;Auto Peças Vinhedo
PED-1082;18/06/2026;3.694,29;Auto Peças Vinhedo
PED-1083;07/06/2026;907,83;Academia Corpo Ativo
PED-1084;23/06/2026;2.293,50;Mercearia São Jorge
PED-1085;15/06/2026;2.806,35;Pet Shop Focinho Feliz
PED-1086;18/06/2026;1.758,17;Livraria Página Viva
PED-1087;14/06/2026;2.587,21;Academia Corpo Ativo
PED-1088;15/06/2026;3.327,55;Pet Shop Focinho Feliz
PED-1089;03/06/2026;1.544,00;Clínica Bem Estar
PED-1090;24/06/2026;909,16;Padaria Trigo Dourado
PED-1091;25/06/2026;2.006,67;Studio Pilates Norte
PED-1092;08/06/2026;3.806,47;Floricultura Jardim
PED-1093;31/02/2026;1.870,58;Barbearia Navalha
PED-1094;23/06/2026;589,93;Auto Peças Vinhedo
PED-1095;17/06/2026;1.627,21;Mercearia São Jorge
PED-1096;07/06/2026;3.216,55;Barbearia Navalha
PED-1097;03/06/2026;4.585,55;Floricultura Jardim
PED-1098;02/06/2026;3.712,31;Padaria Trigo Dourado
PED-1099;11/06/2026;3.006,03;Floricultura Jardim
PED-1100;21/06/2026;1.958,21;Restaurante Canto Mineiro
PED-1101;14/06/2026;4.526,75;Floricultura Jardim
PED-1102;12/06/2026;4.464,10;Pet Shop Focinho Feliz
PED-1103;23/06/2026;2.360,30;Barbearia Navalha
PED-1104;27/06/2026;1.126,42;Floricultura Jardim
PED-1105;25/06/2026;1.110,49;Studio Pilates Norte
PED-1106;05/06/2026;valor a conferir;Floricultura Jardim
PED-1107;06/06/2026;3.817,92;Floricultura Jardim
PED-1108;09/06/2026;3.470,34;Academia Corpo Ativo
PED-1109;29/06/2026;3.006,11;Academia Corpo Ativo
PED-1110;19/06/2026;4.140,26;Óptica Visão Clara
PED-1111;17/06/2026;512,29;Academia Corpo Ativo
PED-1112;23/06/2026;3.273,18;Óptica Visão Clara
PED-1113;30/06/2026;2.935,85;Livraria Página Viva
PED-1114;22/06/2026;1.477,80;Restaurante Canto Mineiro
PED-1115;21/06/2026;3.327,49;Studio Pilates Norte
PED-1116;24/06/2026;2.652,22;Pet Shop Focinho Feliz
PED-1117;01/06/2026;2.336,45;Studio Pilates Norte
PED-1118;16/06/2026;279,82;Studio Pilates Norte
PED-1119;26/06/2026;3.191,42;Floricultura Jardim
PED-1120;09/06/2026;3.493,28;Barbearia Navalha
